C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C3:1
C4:1
C7:1
C8:1
C9:1
CH1:1
CH2:1
D1:1
D2:1
R1:1
R2:1
R4:1
R5:1
SW1:1
SW2:1
U1:1
U2:1
UART1:1
XTAL1:1
XTAL2:1
